                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9714,                 1.6285,                 1.2784,                0.60343,                   0.95,                0.91198,                0.59776,                 1.6285,                 1.1455,                 1.4388,                      0,                      0,                      0
                      2,                 1.1416,                 2.2484,                 1.5421,                0.60057,                   0.95,                0.91156,                0.60168,                 1.6291,                 1.1513,                 1.4349,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 0.9929,                 1.8258,                 1.3853,                0.56718,                   0.95,                 0.9097,                 0.6174,                 1.6395,                 1.1655,                 1.4458,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.0067,                 1.7724,                 1.4055,                0.57059,                   0.95,                0.91134,                0.61803,                 1.6361,                 1.1752,                 1.4481,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                0.99146,                 1.1671,                 1.3232,                0.57185,                   0.95,                0.90885,                0.60059,                 1.6332,                 1.1773,                 1.4457,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                0.84585,                 1.9874,                 1.2964,                0.57459,                0.93333,                0.90664,                0.59976,                 1.6211,                 1.1858,                  1.439,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.2377,                 2.4755,                 1.5759,                0.57357,                0.93333,                0.90717,                0.59885,                 1.6304,                 1.1829,                 1.4349,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.1688,                 2.1696,                 1.6335,                0.57876,                0.93333,                0.90385,                0.61357,                 1.6249,                 1.1824,                 1.4359,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                0.89589,                 1.6673,                 1.4735,                 0.5876,                0.93333,                0.91166,                0.61722,                 1.6329,                 1.1766,                 1.4339,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                0.90382,                 1.2487,                 1.3004,                  0.588,                0.93333,                 0.9141,                0.61411,                 1.6325,                 1.1798,                 1.4306,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                0.89797,                 1.6744,                 1.3696,                0.59377,                0.93333,                0.91333,                0.61394,                 1.6247,                 1.1767,                 1.4289,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                0.88899,                0.99214,                 1.1274,                0.60005,                0.93333,                0.91414,                0.61435,                 1.6253,                 1.1847,                 1.4261,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                0.92114,                0.99725,                 1.1235,                0.60858,                0.93333,                0.91505,                  0.619,                 1.6191,                 1.1753,                 1.4199,             1.2584e-05,             1.2584e-05,             1.2584e-05
